Index,Col1,Col2,Col3,Date,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25
20,120,220,320,2019-01-01,120,220,320,120,220,320,120,220,320,120,220,320,120,220,320,220,320,120,220,320,220,320
21,121,221,321,2019-01-01,121,221,321,121,221,321,121,221,321,121,221,321,121,221,321,221,321,121,221,321,221,321
22,122,222,322,2019-01-01,122,222,322,122,222,322,122,222,322,122,222,322,122,222,322,222,322,122,222,322,222,322
23,123,223,323,2019-01-01,123,223,323,123,223,323,123,223,323,123,223,323,123,223,323,223,323,123,223,323,223,323
24,124,224,324,2019-01-01,124,224,324,124,224,324,124,224,324,124,224,324,124,224,324,224,324,124,224,324,224,324
25,125,225,325,2019-01-01,125,225,325,125,225,325,125,225,325,125,225,325,125,225,325,225,325,125,225,325,225,325
26,126,226,326,2019-01-01,126,226,326,126,226,326,126,226,326,126,226,326,126,226,326,226,326,126,226,326,226,326
27,127,227,327,2019-01-01,127,227,327,127,227,327,127,227,327,127,227,327,127,227,327,227,327,127,227,327,227,327
28,128,228,328,2019-01-01,128,228,328,128,228,328,128,228,328,128,228,328,128,228,328,228,328,128,228,328,228,328
29,129,229,329,2019-01-01,129,229,329,129,229,329,129,229,329,129,229,329,129,229,329,229,329,129,229,329,229,329
30,130,230,330,2019-01-01,11,21,31,11,21,31,11,21,31,11,21,31,11,21,31,21,31,,,,,
31,131,231,331,2019-01-01,12,22,32,12,22,32,12,22,32,12,22,32,12,22,32,22,32,,,,,
32,132,232,332,2019-01-01,13,23,33,13,23,33,13,23,33,13,23,33,13,23,33,23,33,,,,,
33,133,233,333,2019-01-01,14,24,34,14,24,34,14,24,34,14,24,34,14,24,34,24,34,,,,,
34,134,234,334,2019-01-01,15,25,35,15,25,35,15,25,35,15,25,35,15,25,35,25,35,,,,,
35,135,235,335,2019-01-01,16,26,36,16,26,36,16,26,36,16,26,36,16,26,36,26,36,,,,,
36,136,236,336,2019-01-01,17,27,37,17,27,37,17,27,37,17,27,37,17,27,37,27,37,,,,,
37,137,237,337,2019-01-01,18,28,38,18,28,38,18,28,38,18,28,38,18,28,38,28,38,,,,,
38,138,238,338,2019-01-01,19,29,39,19,29,39,19,29,39,19,29,39,19,29,39,29,39,,,,,
39,139,239,339,2019-01-01,110,210,310,110,210,310,110,210,310,110,210,310,110,210,310,210,310,,,,,
40,140,240,340,2019-01-01,111,211,311,111,211,311,111,211,311,111,211,311,111,211,311,211,311,,,,,
41,141,241,341,2019-01-01,112,212,312,112,212,312,112,212,312,112,212,312,112,212,312,212,312,,,,,
42,142,242,342,2019-01-01,113,213,313,113,213,313,113,213,313,113,213,313,113,213,313,213,313,,,,,
43,143,243,343,2019-01-01,114,214,314,114,214,314,114,214,314,114,214,314,114,214,314,214,314,,,,,
44,144,244,344,2019-01-01,115,215,315,115,215,315,115,215,315,115,215,315,115,215,315,215,315,,,,,
45,145,245,345,2019-01-01,116,216,316,116,216,316,116,216,316,116,216,316,116,216,316,216,316,,,,,
46,146,246,346,2019-01-01,117,217,317,117,217,317,117,217,317,117,217,317,117,217,317,217,317,,,,,
47,147,247,347,2019-01-01,118,218,318,118,218,318,118,218,318,118,218,318,118,218,318,218,318,,,,,
48,148,248,348,2019-01-01,119,219,319,119,219,319,119,219,319,119,219,319,119,219,319,219,319,,,,,
49,149,249,349,2019-01-01,120,220,320,120,220,320,120,220,320,120,220,320,120,220,320,220,320,,,,,
50,150,250,350,2019-01-01,121,221,321,121,221,321,121,221,321,121,221,321,121,221,321,221,321,,,,,
51,151,251,351,2019-01-01,122,222,322,122,222,322,122,222,322,122,222,322,122,222,322,222,322,,,,,
52,152,252,352,2019-01-01,123,223,323,123,223,323,123,223,323,123,223,323,123,223,323,223,323,,,,,
53,153,253,353,2019-01-01,124,224,324,124,224,324,124,224,324,124,224,324,124,224,324,224,324,,,,,
54,154,254,354,2019-01-01,125,225,325,125,225,325,125,225,325,125,225,325,125,225,325,225,325,,,,,
55,155,255,355,2019-01-01,126,226,326,126,226,326,126,226,326,126,226,326,126,226,326,226,326,,,,,
56,156,256,356,2019-01-01,127,227,327,127,227,327,127,227,327,127,227,327,127,227,327,227,327,,,,,
57,157,257,357,2019-01-01,128,228,328,128,228,328,128,228,328,128,228,328,128,228,328,228,328,,,,,
58,158,258,358,2019-01-01,129,229,329,129,229,329,129,229,329,129,229,329,129,229,329,229,329,,,,,
59,159,259,359,2019-01-01,11,21,31,11,21,31,11,21,31,11,21,31,11,21,31,21,31,,,,,
60,160,260,360,2019-01-01,12,22,32,12,22,32,12,22,32,12,22,32,12,22,32,22,32,,,,,
61,161,261,361,2019-01-01,13,23,33,13,23,33,13,23,33,13,23,33,13,23,33,23,33,,,,,
62,162,262,362,2019-01-01,14,24,34,14,24,34,14,24,34,14,24,34,14,24,34,24,34,,,,,
63,163,263,363,2019-01-01,15,25,35,15,25,35,15,25,35,15,25,35,15,25,35,25,35,,,,,
64,164,264,364,2019-01-01,16,26,36,16,26,36,16,26,36,16,26,36,16,26,36,26,36,,,,,
65,165,265,365,2019-01-01,17,27,37,17,27,37,17,27,37,17,27,37,17,27,37,27,37,,,,,
66,166,266,366,2019-01-01,18,28,38,18,28,38,18,28,38,18,28,38,18,28,38,28,38,,,,,
67,167,267,367,2019-01-01,19,29,39,19,29,39,19,29,39,19,29,39,19,29,39,29,39,,,,,
68,168,268,368,2019-01-01,110,210,310,110,210,310,110,210,310,110,210,310,110,210,310,210,310,,,,,
69,169,269,369,2019-01-01,111,211,311,111,211,311,111,211,311,111,211,311,111,211,311,211,311,,,,,
70,170,270,370,2019-01-01,112,212,312,112,212,312,112,212,312,112,212,312,112,212,312,212,312,,,,,
71,171,271,371,2019-01-01,113,213,313,113,213,313,113,213,313,113,213,313,113,213,313,213,313,,,,,
72,172,272,372,2019-01-01,114,214,314,114,214,314,114,214,314,114,214,314,114,214,314,214,314,,,,,
73,173,273,373,2019-01-01,115,215,315,115,215,315,115,215,315,115,215,315,115,215,315,215,315,,,,,
74,174,274,374,2019-01-01,116,216,316,116,216,316,116,216,316,116,216,316,116,216,316,216,316,,,,,
75,175,275,375,2019-01-01,117,217,317,117,217,317,117,217,317,117,217,317,117,217,317,217,317,,,,,
76,176,276,376,2019-01-01,118,218,318,118,218,318,118,218,318,118,218,318,118,218,318,218,318,,,,,
77,177,277,377,2019-01-01,119,219,319,119,219,319,119,219,319,119,219,319,119,219,319,219,319,,,,,
78,178,278,378,2019-01-01,120,220,320,120,220,320,120,220,320,120,220,320,120,220,320,220,320,,,,,
79,179,279,379,2019-01-01,121,221,321,121,221,321,121,221,321,121,221,321,121,221,321,221,321,,,,,
80,180,280,380,2019-01-01,122,222,322,122,222,322,122,222,322,122,222,322,122,222,322,222,322,,,,,
81,181,281,381,2019-01-01,123,223,323,123,223,323,123,223,323,123,223,323,123,223,323,223,323,,,,,
82,182,282,382,2019-01-01,124,224,324,124,224,324,124,224,324,124,224,324,124,224,324,224,324,,,,,
83,183,283,383,2019-01-01,125,225,325,125,225,325,125,225,325,125,225,325,125,225,325,225,325,,,,,
84,184,284,384,2019-01-01,126,226,326,126,226,326,126,226,326,126,226,326,126,226,326,226,326,,,,,
85,185,285,385,2019-01-01,127,227,327,127,227,327,127,227,327,127,227,327,127,227,327,227,327,,,,,
86,186,286,386,2019-01-01,128,228,328,128,228,328,128,228,328,128,228,328,128,228,328,228,328,,,,,
87,187,287,387,2019-01-01,129,229,329,129,229,329,129,229,329,129,229,329,129,229,329,229,329,,,,,
88,188,288,388,2019-01-01,11,21,31,11,21,31,11,21,31,11,21,31,11,21,31,21,31,,,,,
89,189,289,389,2019-01-01,12,22,32,12,22,32,12,22,32,12,22,32,12,22,32,22,32,,,,,
90,190,290,390,2019-01-01,13,23,33,13,23,33,13,23,33,13,23,33,13,23,33,23,33,,,,,
91,191,291,391,2019-01-01,14,24,34,14,24,34,14,24,34,14,24,34,14,24,34,24,34,,,,,
92,192,292,392,2019-01-01,15,25,35,15,25,35,15,25,35,15,25,35,15,25,35,25,35,,,,,
93,193,293,393,2019-01-01,16,26,36,16,26,36,16,26,36,16,26,36,16,26,36,26,36,,,,,
94,194,294,394,2019-01-01,17,27,37,17,27,37,17,27,37,17,27,37,17,27,37,27,37,,,,,
95,195,295,395,2019-01-01,18,28,38,18,28,38,18,28,38,18,28,38,18,28,38,28,38,,,,,
96,196,296,396,2019-01-01,19,29,39,19,29,39,19,29,39,19,29,39,19,29,39,29,39,,,,,
97,197,297,397,2019-01-01,110,210,310,110,210,310,110,210,310,110,210,310,110,210,310,210,310,,,,,
98,198,298,398,2019-01-01,111,211,311,111,211,311,111,211,311,111,211,311,111,211,311,211,311,,,,,
99,199,299,399,2019-01-01,112,212,312,112,212,312,112,212,312,112,212,312,112,212,312,212,312,,,,,
100,1100,2100,3100,2019-01-01,113,213,313,113,213,313,113,213,313,113,213,313,113,213,313,213,313,,,,,
101,1101,2101,3101,2019-01-01,114,214,314,114,214,314,114,214,314,114,214,314,114,214,314,214,314,,,,,
102,1102,2102,3102,2019-01-01,115,215,315,115,215,315,115,215,315,115,215,315,115,215,315,215,315,,,,,
103,1103,2103,3103,2019-01-01,116,216,316,116,216,316,116,216,316,116,216,316,116,216,316,216,316,,,,,
104,1104,2104,3104,2019-01-01,117,217,317,117,217,317,117,217,317,117,217,317,117,217,317,217,317,,,,,
105,1105,2105,3105,2019-01-01,118,218,318,118,218,318,118,218,318,118,218,318,118,218,318,218,318,,,,,
106,1106,2106,3106,2019-01-01,119,219,319,119,219,319,119,219,319,119,219,319,119,219,319,219,319,,,,,
107,1107,2107,3107,2019-01-01,120,220,320,120,220,320,120,220,320,120,220,320,120,220,320,220,320,,,,,
108,1108,2108,3108,2019-01-01,121,221,321,121,221,321,121,221,321,121,221,321,121,221,321,221,321,,,,,
109,1109,2109,3109,2019-01-01,122,222,322,122,222,322,122,222,322,122,222,322,122,222,322,222,322,,,,,
110,1110,2110,3110,2019-01-01,123,223,323,123,223,323,123,223,323,123,223,323,123,223,323,223,323,,,,,
111,1111,2111,3111,2019-01-01,124,224,324,124,224,324,124,224,324,124,224,324,124,224,324,224,324,,,,,
112,1112,2112,3112,2019-01-01,125,225,325,125,225,325,125,225,325,125,225,325,125,225,325,225,325,,,,,
113,1113,2113,3113,2019-01-01,126,226,326,126,226,326,126,226,326,126,226,326,126,226,326,226,326,,,,,
114,1114,2114,3114,2019-01-01,127,227,327,127,227,327,127,227,327,127,227,327,127,227,327,227,327,,,,,
115,1115,2115,3115,2019-01-01,128,228,328,128,228,328,128,228,328,128,228,328,128,228,328,228,328,,,,,
116,1116,2116,3116,2019-01-01,129,229,329,129,229,329,129,229,329,129,229,329,129,229,329,229,329,,,,,
117,1117,2117,3117,2019-01-01,11,21,31,11,21,31,11,21,31,11,21,31,11,21,31,21,31,,,,,
118,1118,2118,3118,2019-01-01,12,22,32,12,22,32,12,22,32,12,22,32,12,22,32,22,32,,,,,
119,1119,2119,3119,2019-01-01,13,23,33,13,23,33,13,23,33,13,23,33,13,23,33,23,33,,,,,
120,1120,2120,3120,2019-01-01,14,24,34,14,24,34,14,24,34,14,24,34,14,24,34,24,34,,,,,
121,1121,2121,3121,2019-01-01,15,25,35,15,25,35,15,25,35,15,25,35,15,25,35,25,35,,,,,
122,1122,2122,3122,2019-01-01,16,26,36,16,26,36,16,26,36,16,26,36,16,26,36,26,36,,,,,
123,1123,2123,3123,2019-01-01,17,27,37,17,27,37,17,27,37,17,27,37,17,27,37,27,37,,,,,
124,1124,2124,3124,2019-01-01,18,28,38,18,28,38,18,28,38,18,28,38,18,28,38,28,38,,,,,
125,1125,2125,3125,2019-01-01,19,29,39,19,29,39,19,29,39,19,29,39,19,29,39,29,39,,,,,
126,1126,2126,3126,2019-01-01,110,210,310,110,210,310,110,210,310,110,210,310,110,210,310,210,310,,,,,
127,1127,2127,3127,2019-01-01,111,211,311,111,211,311,111,211,311,111,211,311,111,211,311,211,311,,,,,
128,1128,2128,3128,2019-01-01,112,212,312,112,212,312,112,212,312,112,212,312,112,212,312,212,312,,,,,
129,1129,2129,3129,2019-01-01,113,213,313,113,213,313,113,213,313,113,213,313,113,213,313,213,313,,,,,
130,1130,2130,3130,2019-01-01,114,214,314,114,214,314,114,214,314,114,214,314,114,214,314,214,314,,,,,
131,1131,2131,3131,2019-01-01,115,215,315,115,215,315,115,215,315,115,215,315,115,215,315,215,315,,,,,
132,1132,2132,3132,2019-01-01,116,216,316,116,216,316,116,216,316,116,216,316,116,216,316,216,316,,,,,
133,1133,2133,3133,2019-01-01,117,217,317,117,217,317,117,217,317,117,217,317,117,217,317,217,317,,,,,
134,1134,2134,3134,2019-01-01,118,218,318,118,218,318,118,218,318,118,218,318,118,218,318,218,318,,,,,
135,1135,2135,3135,2019-01-01,119,219,319,119,219,319,119,219,319,119,219,319,119,219,319,219,319,,,,,
136,1136,2136,3136,2019-01-01,120,220,320,120,220,320,120,220,320,120,220,320,120,220,320,220,320,,,,,
137,1137,2137,3137,2019-01-01,121,221,321,121,221,321,121,221,321,121,221,321,121,221,321,221,321,,,,,
138,1138,2138,3138,2019-01-01,122,222,322,122,222,322,122,222,322,122,222,322,122,222,322,222,322,,,,,
139,1139,2139,3139,2019-01-01,123,223,323,123,223,323,123,223,323,123,223,323,123,223,323,223,323,,,,,
140,1140,2140,3140,2019-01-01,124,224,324,124,224,324,124,224,324,124,224,324,124,224,324,224,324,,,,,
141,1141,2141,3141,2019-01-01,125,225,325,125,225,325,125,225,325,125,225,325,125,225,325,225,325,,,,,
142,1142,2142,3142,2019-01-01,126,226,326,126,226,326,126,226,326,126,226,326,126,226,326,226,326,,,,,
143,1143,2143,3143,2019-01-01,127,227,327,127,227,327,127,227,327,127,227,327,127,227,327,227,327,,,,,
144,1144,2144,3144,2019-01-01,128,228,328,128,228,328,128,228,328,128,228,328,128,228,328,228,328,,,,,
145,1145,2145,3145,2019-01-01,129,229,329,129,229,329,129,229,329,129,229,329,129,229,329,229,329,,,,,
146,1146,2146,3146,2019-01-01,11,21,31,11,21,31,11,21,31,11,21,31,11,21,31,21,31,,,,,
147,1147,2147,3147,2019-01-01,12,22,32,12,22,32,12,22,32,12,22,32,12,22,32,22,32,,,,,
148,1148,2148,3148,2019-01-01,13,23,33,13,23,33,13,23,33,13,23,33,13,23,33,23,33,,,,,
149,1149,2149,3149,2019-01-01,14,24,34,14,24,34,14,24,34,14,24,34,14,24,34,24,34,,,,,
150,1150,2150,3150,2019-01-01,15,25,35,15,25,35,15,25,35,15,25,35,15,25,35,25,35,,,,,
151,1151,2151,3151,2019-01-01,16,26,36,16,26,36,16,26,36,16,26,36,16,26,36,26,36,,,,,
152,1152,2152,3152,2019-01-01,17,27,37,17,27,37,17,27,37,17,27,37,17,27,37,27,37,,,,,
153,1153,2153,3153,2019-01-01,18,28,38,18,28,38,18,28,38,18,28,38,18,28,38,28,38,,,,,
154,1154,2154,3154,2019-01-01,19,29,39,19,29,39,19,29,39,19,29,39,19,29,39,29,39,,,,,
155,1155,2155,3155,2019-01-01,110,210,310,110,210,310,110,210,310,110,210,310,110,210,310,210,310,,,,,
156,1156,2156,3156,2019-01-01,111,211,311,111,211,311,111,211,311,111,211,311,111,211,311,211,311,,,,,
157,1157,2157,3157,2019-01-01,112,212,312,112,212,312,112,212,312,112,212,312,112,212,312,212,312,,,,,
158,1158,2158,3158,2019-01-01,113,213,313,113,213,313,113,213,313,113,213,313,113,213,313,213,313,,,,,
159,1159,2159,3159,2019-01-01,114,214,314,114,214,314,114,214,314,114,214,314,114,214,314,214,314,,,,,
160,1160,2160,3160,2019-01-01,115,215,315,115,215,315,115,215,315,115,215,315,115,215,315,215,315,,,,,
161,1161,2161,3161,2019-01-01,116,216,316,116,216,316,116,216,316,116,216,316,116,216,316,216,316,,,,,
162,1162,2162,3162,2019-01-01,117,217,317,117,217,317,117,217,317,117,217,317,117,217,317,217,317,,,,,
163,1163,2163,3163,2019-01-01,118,218,318,118,218,318,118,218,318,118,218,318,118,218,318,218,318,,,,,
164,1164,2164,3164,2019-01-01,119,219,319,119,219,319,119,219,319,119,219,319,119,219,319,219,319,,,,,
165,1165,2165,3165,2019-01-01,120,220,320,120,220,320,120,220,320,120,220,320,120,220,320,220,320,,,,,
166,1166,2166,3166,2019-01-01,121,221,321,121,221,321,121,221,321,121,221,321,121,221,321,221,321,,,,,
167,1167,2167,3167,2019-01-01,122,222,322,122,222,322,122,222,322,122,222,322,122,222,322,222,322,,,,,
168,1168,2168,3168,2019-01-01,123,223,323,123,223,323,123,223,323,123,223,323,123,223,323,223,323,,,,,
169,1169,2169,3169,2019-01-01,124,224,324,124,224,324,124,224,324,124,224,324,124,224,324,224,324,,,,,
170,1170,2170,3170,2019-01-01,125,225,325,125,225,325,125,225,325,125,225,325,125,225,325,225,325,,,,,
171,1171,2171,3171,2019-01-01,126,226,326,126,226,326,126,226,326,126,226,326,126,226,326,226,326,,,,,
172,1172,2172,3172,2019-01-01,127,227,327,127,227,327,127,227,327,127,227,327,127,227,327,227,327,,,,,
173,1173,2173,3173,2019-01-01,128,228,328,128,228,328,128,228,328,128,228,328,128,228,328,228,328,,,,,
174,1174,2174,3174,2019-01-01,129,229,329,129,229,329,129,229,329,129,229,329,129,229,329,229,329,,,,,
175,1175,2175,3175,2019-01-01,11,21,31,11,21,31,11,21,31,11,21,31,11,21,31,21,31,,,,,
176,1176,2176,3176,2019-01-01,12,22,32,12,22,32,12,22,32,12,22,32,12,22,32,22,32,,,,,
177,1177,2177,3177,2019-01-01,13,23,33,13,23,33,13,23,33,13,23,33,13,23,33,23,33,,,,,
178,1178,2178,3178,2019-01-01,14,24,34,14,24,34,14,24,34,14,24,34,14,24,34,24,34,,,,,
179,1179,2179,3179,2019-01-01,15,25,35,15,25,35,15,25,35,15,25,35,15,25,35,25,35,,,,,
180,1180,2180,3180,2019-01-01,16,26,36,16,26,36,16,26,36,16,26,36,16,26,36,26,36,,,,,
181,1181,2181,3181,2019-01-01,17,27,37,17,27,37,17,27,37,17,27,37,17,27,37,27,37,,,,,
182,1182,2182,3182,2019-01-01,18,28,38,18,28,38,18,28,38,18,28,38,18,28,38,28,38,,,,,
183,1183,2183,3183,2019-01-01,19,29,39,19,29,39,19,29,39,19,29,39,19,29,39,29,39,,,,,
184,1184,2184,3184,2019-01-01,110,210,310,110,210,310,110,210,310,110,210,310,110,210,310,210,310,,,,,
185,1185,2185,3185,2019-01-01,111,211,311,111,211,311,111,211,311,111,211,311,111,211,311,211,311,,,,,
186,1186,2186,3186,2019-01-01,112,212,312,112,212,312,112,212,312,112,212,312,112,212,312,212,312,,,,,
187,1187,2187,3187,2019-01-01,113,213,313,113,213,313,113,213,313,113,213,313,113,213,313,213,313,,,,,
188,1188,2188,3188,2019-01-01,114,214,314,114,214,314,114,214,314,114,214,314,114,214,314,214,314,,,,,
189,1189,2189,3189,2019-01-01,115,215,315,115,215,315,115,215,315,115,215,315,115,215,315,215,315,,,,,
190,1190,2190,3190,2019-01-01,116,216,316,116,216,316,116,216,316,116,216,316,116,216,316,216,316,,,,,
191,1191,2191,3191,2019-01-01,117,217,317,117,217,317,117,217,317,117,217,317,117,217,317,217,317,,,,,
192,1192,2192,3192,2019-01-02,118,218,318,118,218,318,118,218,318,118,218,318,118,218,318,218,318,,,,,
193,1193,2193,3193,2019-01-02,119,219,319,119,219,319,119,219,319,119,219,319,119,219,319,219,319,,,,,
194,1194,2194,3194,2019-01-02,120,220,320,120,220,320,120,220,320,120,220,320,120,220,320,220,320,,,,,
195,1195,2195,3195,2019-01-02,121,221,321,121,221,321,121,221,321,121,221,321,121,221,321,221,321,,,,,
196,1196,2196,3196,2019-01-02,122,222,322,122,222,322,122,222,322,122,222,322,122,222,322,222,322,,,,,
197,1197,2197,3197,2019-01-02,123,223,323,123,223,323,123,223,323,123,223,323,123,223,323,223,323,,,,,
198,1198,2198,3198,2019-01-02,124,224,324,124,224,324,124,224,324,124,224,324,124,224,324,224,324,,,,,
199,1199,2199,3199,2019-01-02,125,225,325,125,225,325,125,225,325,125,225,325,125,225,325,225,325,,,,,
200,1200,2200,3200,2019-01-02,126,226,326,126,226,326,126,226,326,126,226,326,126,226,326,226,326,,,,,
201,1201,2201,3201,2019-01-02,127,227,327,127,227,327,127,227,327,127,227,327,127,227,327,227,327,,,,,
202,1202,2202,3202,2019-01-02,128,228,328,128,228,328,128,228,328,128,228,328,128,228,328,228,328,,,,,
203,1203,2203,3203,2019-01-02,129,229,329,129,229,329,129,229,329,129,229,329,129,229,329,229,329,,,,,
204,1204,2204,3204,2019-01-02,11,21,31,11,21,31,11,21,31,11,21,31,11,21,31,21,31,,,,,
205,1205,2205,3205,2019-01-02,12,22,32,12,22,32,12,22,32,12,22,32,12,22,32,22,32,,,,,
206,1206,2206,3206,2019-01-02,13,23,33,13,23,33,13,23,33,13,23,33,13,23,33,23,33,,,,,
207,1207,2207,3207,2019-01-02,14,24,34,14,24,34,14,24,34,14,24,34,14,24,34,24,34,,,,,
208,1208,2208,3208,2019-01-02,15,25,35,15,25,35,15,25,35,15,25,35,15,25,35,25,35,,,,,
209,1209,2209,3209,2019-01-02,16,26,36,16,26,36,16,26,36,16,26,36,16,26,36,26,36,,,,,
210,1210,2210,3210,2019-01-02,17,27,37,17,27,37,17,27,37,17,27,37,17,27,37,27,37,,,,,
211,1211,2211,3211,2019-01-02,18,28,38,18,28,38,18,28,38,18,28,38,18,28,38,28,38,,,,,
212,1212,2212,3212,2019-01-02,19,29,39,19,29,39,19,29,39,19,29,39,19,29,39,29,39,,,,,
213,1213,2213,3213,2019-01-02,110,210,310,110,210,310,110,210,310,110,210,310,110,210,310,210,310,,,,,
214,1214,2214,3214,2019-01-02,111,211,311,111,211,311,111,211,311,111,211,311,111,211,311,211,311,,,,,
215,1215,2215,3215,2019-01-02,112,212,312,112,212,312,112,212,312,112,212,312,112,212,312,212,312,,,,,
216,1216,2216,3216,2019-01-02,113,213,313,113,213,313,113,213,313,113,213,313,113,213,313,213,313,,,,,
217,1217,2217,3217,2019-01-02,114,214,314,114,214,314,114,214,314,114,214,314,114,214,314,214,314,,,,,
218,1218,2218,3218,2019-01-02,115,215,315,115,215,315,115,215,315,115,215,315,115,215,315,215,315,,,,,
219,1219,2219,3219,2019-01-02,116,216,316,116,216,316,116,216,316,116,216,316,116,216,316,216,316,,,,,
220,1220,2220,3220,2019-01-02,117,217,317,117,217,317,117,217,317,117,217,317,117,217,317,217,317,,,,,
221,1221,2221,3221,2019-01-02,118,218,318,118,218,318,118,218,318,118,218,318,118,218,318,218,318,,,,,
222,1222,2222,3222,2019-01-02,119,219,319,119,219,319,119,219,319,119,219,319,119,219,319,219,319,,,,,
223,1223,2223,3223,2019-01-02,120,220,320,120,220,320,120,220,320,120,220,320,120,220,320,220,320,,,,,
224,1224,2224,3224,2019-01-02,121,221,321,121,221,321,121,221,321,121,221,321,121,221,321,221,321,,,,,
225,1225,2225,3225,2019-01-02,122,222,322,122,222,322,122,222,322,122,222,322,122,222,322,222,322,,,,,
226,1226,2226,3226,2019-01-02,123,223,323,123,223,323,123,223,323,123,223,323,123,223,323,223,323,,,,,
227,1227,2227,3227,2019-01-02,124,224,324,124,224,324,124,224,324,124,224,324,124,224,324,224,324,,,,,
228,1228,2228,3228,2019-01-02,125,225,325,125,225,325,125,225,325,125,225,325,125,225,325,225,325,,,,,
229,1229,2229,3229,2019-01-02,126,226,326,126,226,326,126,226,326,126,226,326,126,226,326,226,326,,,,,
230,1230,2230,3230,2019-01-02,127,227,327,127,227,327,127,227,327,127,227,327,127,227,327,227,327,,,,,
231,1231,2231,3231,2019-01-02,128,228,328,128,228,328,128,228,328,128,228,328,128,228,328,228,328,,,,,
232,1232,2232,3232,2019-01-02,129,229,329,129,229,329,129,229,329,129,229,329,129,229,329,229,329,,,,,
233,1233,2233,3233,2019-01-02,11,21,31,11,21,31,11,21,31,11,21,31,11,21,31,21,31,,,,,
234,1234,2234,3234,2019-01-02,12,22,32,12,22,32,12,22,32,12,22,32,12,22,32,22,32,,,,,
235,1235,2235,3235,2019-01-02,13,23,33,13,23,33,13,23,33,13,23,33,13,23,33,23,33,,,,,
236,1236,2236,3236,2019-01-02,14,24,34,14,24,34,14,24,34,14,24,34,14,24,34,24,34,,,,,
237,1237,2237,3237,2019-01-02,15,25,35,15,25,35,15,25,35,15,25,35,15,25,35,25,35,,,,,
238,1238,2238,3238,2019-01-02,16,26,36,16,26,36,16,26,36,16,26,36,16,26,36,26,36,,,,,
239,1239,2239,3239,2019-01-02,17,27,37,17,27,37,17,27,37,17,27,37,17,27,37,27,37,,,,,
240,1240,2240,3240,2019-01-02,18,28,38,18,28,38,18,28,38,18,28,38,18,28,38,28,38,,,,,
241,1241,2241,3241,2019-01-02,19,29,39,19,29,39,19,29,39,19,29,39,19,29,39,29,39,,,,,
242,1242,2242,3242,2019-01-02,110,210,310,110,210,310,110,210,310,110,210,310,110,210,310,210,310,,,,,
243,1243,2243,3243,2019-01-02,111,211,311,111,211,311,111,211,311,111,211,311,111,211,311,211,311,,,,,
244,1244,2244,3244,2019-01-02,112,212,312,112,212,312,112,212,312,112,212,312,112,212,312,212,312,,,,,
