"ID","Title","Created By","Created On","Estimate","Expected Result","Forecast","Module","Owner","Preconditions","Priority","References","Release","Section","Section Description","Steps","Steps","Steps (Additional Info)","Steps (Expected Result)","Steps (References)","Steps (Shared step ID)","Steps (Step)","Suite","Suite ID","TC Status","Type","Updated By","Updated On"
"C12045630","GHES: Verify that a user can see git hub options in the project context menu for a project with R&W acccess, as disabled when he doesnot log in to github","Dinesh Babu","9/28/2022 7:49 AM","","Verify that the user can see the following options as disabled:
1.. Checkout Github repository
2. Commit to Github
3. Github Pull","","GitHub","Dinesh Babu","user is not logged in to GHES","Medium","STU-20","4.3","STU-20: [CI/CD] GitHub Enterprise Server","","open the project context menu of a project for which the user has R&W access","","","","","","","Master","S1"," In Progress","UI","Pavan V","8/25/2023 9:38 AM"
"C12045631","GHES: Verify that a user can see git hub options in the project context menu for a project with full acccess, as enbled when he logs in to github","Dinesh Babu","9/28/2022 7:49 AM","","Verify that the user can see the following options as enabled:
1.. Checkout Github repository
2. Commit to Github
3. Github Pull","","GitHub","Dinesh Babu","User is logged in to GHES","Medium","STU-20","4.3","STU-20: [CI/CD] GitHub Enterprise Server","","open the project context menu of a project for which the user has full access","","","","","","","Master","S1"," In Progress","UI","Pavan V","8/25/2023 9:38 AM"
"C12045632","GHES: Verify that a user can see git hub options in the project context menu for a project with full acccess, as disabled when he doesnot log in to github","Dinesh Babu","9/28/2022 7:49 AM","","Verify that the user can see the following options as disabled:
1.. Checkout Github repository
2. Commit to Github
3. Github Pull","","GitHub","Dinesh Babu","user is not logged in to GHES","Medium","STU-20","4.3","STU-20: [CI/CD] GitHub Enterprise Server","","open the project context menu of a project for which the user has full access","","","","","","","Master","S1"," In Progress","UI","Pavan V","8/25/2023 9:38 AM"
"C12045633","GHES: Verify that a user can see git hub options in the project context menu for a project with owner permission, as enbled when he logs in to github","Dinesh Babu","9/28/2022 7:50 AM","","Verify that the user can see the following options as enabled:
1.. Checkout Github repository
2. Commit to Github
3. Github Pull","","GitHub","Dinesh Babu","User is logged in to GHES","Medium","STU-20","4.3","STU-20: [CI/CD] GitHub Enterprise Server","","open the project context menu of a project for which the user has owner permission","","","","","","","Master","S1"," In Progress","UI","Pavan V","8/25/2023 9:38 AM"
"C12045634","GHES: Verify that a user can see git hub options in the project context menu for a project with owner permission, as disabled when he doesnot log in to github","Dinesh Babu","9/28/2022 7:50 AM","","Verify that the user can see the following options as disabled:
1.. Checkout Github repository
2. Commit to Github
3. Github Pull","","GitHub","Dinesh Babu","user is not logged in to GHES","Medium","STU-20","4.3","STU-20: [CI/CD] GitHub Enterprise Server","","open the project context menu of a project for which the user has owner permission","","","","","","","Master","S1"," In Progress","UI","Pavan V","8/25/2023 9:38 AM"
"C12045635","GHES: Verify the UI display when the user clicks on the checkout from git repsitory option","Dinesh Babu","9/28/2022 7:50 AM","","1. Verify the checkout pop up shows with a drop down showing the repositories that the user has access to
2. Verify that a second dropdown showing the versions and branches in the selected repository
3. Verify that the checkout button is enabled also verify the cancel button is present and enabled","","GitHub","Dinesh Babu","User is logged in to GHES","Medium","STU-20","4.3","STU-20: [CI/CD] GitHub Enterprise Server","","open the project context menu
click on checkout from a git repository option
Verify 1
Select a repository
Verify 2
select a version/branch to checkout from
Verify 3","","","","","","","Master","S1"," In Progress","UI","Pavan V","8/25/2023 9:38 AM"
"C12045636","GHES: Verify the functionality checkout from git repsitory option for a newly created project","Dinesh Babu","9/28/2022 7:50 AM","","1. Verify that all the assets from the selected repository show up in the project
2. Verify that the assets inherit the permissions for the user on the project","","GitHub","Dinesh Babu","User is logged in to GHES","Medium","STU-20","4.3","STU-20: [CI/CD] GitHub Enterprise Server","","open the project context menu for a new project
click on checkout from a git repository option
Select a repository
select a version/branch to checkout from
click on the clone button button","","","","","","","Master","S1"," In Progress","UI","Pavan V","8/25/2023 9:38 AM"
"C12045637","GHES: Verify that the assets in the project are not replaced with assets from git when the checkout option is selected on a project with existing assets","Dinesh Babu","9/28/2022 7:50 AM","","1. Verify that all the assets from the selected repository show up in the project and the existing assets are not replaced 
2. Verify that the assets inherit the permissions for the user on the project","","GitHub","Dinesh Babu","User is logged in to GHES","Medium","STU-20","4.3","STU-20: [CI/CD] GitHub Enterprise Server","","open the project context menu
click on checkout from a git repository option
Select a repository
select a version/branch to checkout from
click on the clone button button","","","","","","","Master","S1"," In Progress","UI","Pavan V","8/25/2023 9:38 AM"
"C12045638","GHES: Verify that the add/remove to/from git buttons, when the user selects an asset that is already tracked in git","Dinesh Babu","9/28/2022 7:50 AM","","1.Verify that the add to repo button should show
2.Verify that the remove from repo button should show","","GitHub","Dinesh Babu","User is logged in to GHES","Medium","STU-20","4.3","STU-20: [CI/CD] GitHub Enterprise Server","","navigate to the asset panel
open the context menu for an asset that is already tracked in git","","","","","","","Master","S1"," In Progress","UI","Pavan V","8/25/2023 9:38 AM"
"C12045639","GHES: Verify that the add/remove to/from git buttons, when the user selects an asset that is not tracked in git","Dinesh Babu","9/28/2022 7:50 AM","","1.Verify that the add to repo button shows
2.Verify that the remove from repo button should not show","","GitHub","Dinesh Babu","User is logged in to GHES","Medium","STU-20","4.3","STU-20: [CI/CD] GitHub Enterprise Server","","navigate to the asset panel
open the context menu for an asset that is not tracked in git","","","","","","","Master","S1"," In Progress","UI","Pavan V","8/25/2023 9:38 AM"
"C12045640","GHES: Verify that the add/remove to/from git buttons donot show on the snap pack panel","Dinesh Babu","9/28/2022 7:50 AM","","Verify that the add/remove to/from repo buttons donot show","","GitHub","Dinesh Babu","User is logged in to GHES","Medium","STU-20","4.3","STU-20: [CI/CD] GitHub Enterprise Server","","navigate to the asset panel
open the context menu for a snap pack","","","","","","","Master","S1"," In Progress","UI","Pavan V","8/25/2023 9:38 AM"
"C12045641","GHES: Verify that the add/remove to/from git buttons donot show on the snaplex panel","Dinesh Babu","9/28/2022 7:50 AM","","Verify that the add/remove to/from repo buttons donot show","","GitHub","Dinesh Babu","User is logged in to GHES","Medium","STU-20","4.3","STU-20: [CI/CD] GitHub Enterprise Server","","navigate to the asset panel
open the context menu for a snaplex","","","","","","","Master","S1"," In Progress","UI","Pavan V","8/25/2023 9:38 AM"
"C12045642","GHES: Verify when the user click on add to repo option, the git status gets updated accordingly","Dinesh Babu","9/28/2022 7:50 AM","","1.Verify that the git status column shows """"added""""
2.Verify that the git status column shows """"tracked""""
3.Verify that the git status column shows """"removed""""
4.Verify that the git status column shows """"un tracked""""

","","GitHub","Dinesh Babu","User is logged in to GHES","Medium","STU-20","4.3","STU-20: [CI/CD] GitHub Enterprise Server","","navigate to asset panel
click on the context menu for an asset that is not tracked
click on the add to repo option
Verify 1
click on commit to git hub in the project context menu
commit the changes
Verify 2
click on the remove from repo option
Verify 3
click on commit to git hub in the project context menu
commit the changes
Verify 4
","","","","","","","Master","S1"," In Progress","UI","Pavan V","8/25/2023 9:38 AM"
"C12045643","GHES: Verify when the user click on remove from repo option, the git status gets updated accordingly","Dinesh Babu","9/28/2022 7:50 AM","","1. Verify that the git status column shows """"removed""""
2.  Verify that the git status column shows """"un tracked""""","","GitHub","Dinesh Babu","User is logged in to GHES","Medium","STU-20","4.3","STU-20: [CI/CD] GitHub Enterprise Server","","navigate to asset panel
click on the context menu for an asset that is tracked
click on the remove from repo option
Verify 1
click on commit to git hub in the project context menu
commit the changes
Verify 2","","","","","","","Master","S1","Obsolete","UI","Pavan V","2/3/2023 2:41 AM"
"C12045644","GHES: Verify that a user can select a new asset and add it to be tracked by git","Dinesh Babu","9/28/2022 7:50 AM","","1.Verify that the newly added asset shows in the commit pop up to be comitted to git hub
2.Verify that the asset shows in the commit pop up to be removed from git hub

","","GitHub","Dinesh Babu","User is logged in to GHES","Medium","STU-20","4.3","STU-20: [CI/CD] GitHub Enterprise Server","","navigate to the asset panel
create any new asset
1.select the asset click on add to git button in the context menu
   click on commit to git hub from the project context menu

2.select the asset click on remove button in the context menu
  click on commit to git hub from the project context menu","","","","","","","Master","S1"," In Progress","UI","Pavan V","8/25/2023 9:38 AM"
"C12045645","GHES: Verify that a user can select an existing asset and remove from git tracking","Dinesh Babu","9/28/2022 7:50 AM","","Verify that the asset shows in the commit pop up to be removed from git hub","","GitHub","Dinesh Babu","User is logged in to GHES","Medium","STU-20","4.3","STU-20: [CI/CD] GitHub Enterprise Server","","navigate to the asset panel
select the asset click on remove button in the context menu
click on commit to git hub from the project context menu","","","","","","","Master","S1","Obsolete","UI","Pavan V","2/5/2023 9:23 PM"
"C12045646","GHES: Verify the UI display when the user clicks on the commit to Git hub button","Dinesh Babu","9/28/2022 7:50 AM","","1.the pop up should show the assets that are being comitted
2.the pop up should show a text box for the commit message
3. the commit button should be enabled","","GitHub","Dinesh Babu","user is logged in to GHES
Make changes to some assets in a project","Medium","STU-20","4.3","STU-20: [CI/CD] GitHub Enterprise Server","","open the project context menu
click on the commit to git hub button","","","","","","","Master","S1"," In Progress","UI","Pavan V","8/25/2023 9:38 AM"
"C12045647","GHES: Verify the commit to Git hub functionality","Dinesh Babu","9/28/2022 7:50 AM","","2. Changes should be added and status code should be 200
3. Commit action should be performed and status code should be 200.","","GitHub","Pavan V","user is logged in to GHES
Make changes/add assets in a project

Body: {
        """"status"""": """"add"""",
        """"assets"""": """"[assestSnodeID]""""
      }


Body: {
        """"msg"""": """"Message"""",
        """"assets"""": """"[assestSnodeID]""""
      }
","Medium","STU-20","4.3","STU-20: [CI/CD] GitHub Enterprise Server","","1.Make changes/add assets in a project
2.Hit the Post API request /api/2/&lt;orgSnodeId&gt;/rest/project/repo-status/&lt;path&gt;
3.Hit the Post API request /api/2/&lt;orgSnodeId&gt;/rest/project/commit/&lt;path&gt;","","","","","","","Master","S1"," In Progress","API","Pavan V","8/25/2023 9:39 AM"
"C12045648","GHES: Verify the Git pull functionality","Dinesh Babu","9/28/2022 7:50 AM","","1. Verify that the assets that are selected for overwriting are over written
2. Veriy that the assets that are not selected still retain the local copy
3. Verify the git status for local copy show as added
3. Verify the assets that donot have conflicts are updated with the repo versions
4. Verify the untracked files are not touched","","GitHub","Dinesh Babu","user is logged in to GHES
changes done to the repository by another user
and some changes made by current user to create conflicts","Medium","STU-20","4.3","STU-20: [CI/CD] GitHub Enterprise Server","","open a project with assets
click on the git pull button in the project context menu
select some assets that need to be overwritten and do not select some
click on the pull button","","","","","","","Master","S1"," In Progress","UI","Pavan V","8/25/2023 9:38 AM"
"C12045649","GHES: Verify that the github authentication button work on designer, manager and dashboard pages","Dinesh Babu","9/28/2022 7:50 AM","","1. Verify the user navigates to git hub for authentication
2. Verify the user navigates to git hub for authentication
3. Verify the user navigates to git hub for authentication","","GitHub","Dinesh Babu","user is not logged in to GHES","Medium","STU-20","4.3","STU-20: [CI/CD] GitHub Enterprise Server","","Navigate to designer
open the user profile popup
click on the github authentication button
verify 1
close the git page
Navigate to manager
open the user profile popup
click on the github authentication button
verify 2
close the git page
Navigate to dashboard
open the user profile popup
click on the github authentication button
verify 3","","","","","","","Master","S1"," In Progress","UI","Pavan V","8/25/2023 9:38 AM"
"C12045650","GHES: Verify the github status for a newly added asset","Dinesh Babu","9/28/2022 7:50 AM","","In the response the status should show """"untracked"""" for newly added asset.","","GitHub","Pavan V","project is linked to a GHES repo","Medium","STU-20","4.3","STU-20: [CI/CD] GitHub Enterprise Server","","1.add a new asset to the project
2.Hit the GET API call /api/1/rest/public/project/repo-status/&lt;path&gt;","","","","","","","Master","S1"," In Progress","API","Pavan V","8/25/2023 9:39 AM"
"C12045651","GHES: Verify that the git hub status for snaplexes or snappacks shows as unsupported","Dinesh Babu","9/28/2022 7:50 AM","","it should show unsupported","","GitHub","Dinesh Babu","","High","STU-20","4.3","STU-20: [CI/CD] GitHub Enterprise Server","","select a snaplex/snap pack from the asset table in the all assets panel 
verify the github status","","","","","","","Master","S1"," In Progress","UI","Pavan V","8/25/2023 9:38 AM"
"C12045652","GHES: Verify the pull public api returns 200 and the assets are checked out","Dinesh Babu","9/28/2022 7:50 AM","","Verify the result shows the newly updated assets and the status shows 200","","GitHub","Pavan V","user conneted to GHES

Body : {
         """"repo"""" : """"repository"""",
         """"ref"""" : """"branch""""
       }","Medium","STU-20","4.3","STU-20: [CI/CD] GitHub Enterprise Server","","run the following api:
POST /api/1/rest/public/project/pull/&lt;path&gt;","","","","","","","Master","S1"," In Progress","API","Pavan V","8/25/2023 9:39 AM"
"C12045653","GHES: Verify the checkout public api returns 200 and the assets are checked out","Dinesh Babu","9/28/2022 7:50 AM","","verify that the assets are checked out and it returns 200 and also shows the list of assets in the return","","GitHub","Pavan V","","Medium","STU-20","4.3","STU-20: [CI/CD] GitHub Enterprise Server","","Run the following api:
/api/1/rest/public/project/checkout/&lt;path&gt;
body: {
        """"repo"""" : """"git_repository"""",
        """"ref"""" : """"branch_name""""
       }","","","","","","","Master","S1"," In Progress","API","Pavan V","8/25/2023 9:39 AM"
"C12045654","GHES: Verify Fields of GitPull Pop UP","Dinesh Babu","9/28/2022 7:50 AM","","","","GitHub","Dinesh Babu","","Medium","STU-20","4.3","STU-20: [CI/CD] GitHub Enterprise Server","","Corresponding fields should be present","","","","","","","Master","S1"," In Progress","UI","Pavan V","8/25/2023 9:38 AM"
"C12045655","GHES: Verify Activity Log on Git Commit","Dinesh Babu","9/28/2022 7:50 AM","","In Activity Log trace should be present","","GitHub","Dinesh Babu","","Medium","STU-20","4.3","STU-20: [CI/CD] GitHub Enterprise Server","","","","","","","","","Master","S1"," In Progress","UI","Pavan V","8/25/2023 9:38 AM"
"C12045656","GHES: Verify Activity Log on Git Pull","Dinesh Babu","9/28/2022 7:50 AM","","Activity trace should be present when Git pull is performed","","GitHub","Dinesh Babu","","Medium","STU-20","4.3","STU-20: [CI/CD] GitHub Enterprise Server","","","","","","","","","Master","S1","Obsolete","UI","Pavan V","2/5/2023 7:37 PM"
"C12045657","GHES: Verify Activity Log on Git Checkout","Dinesh Babu","9/28/2022 7:50 AM","","Activity trace should be present when performed Git Checkout","","GitHub","Dinesh Babu","","Medium","STU-20","4.3","STU-20: [CI/CD] GitHub Enterprise Server","","","","","","","","","Master","S1"," In Progress","UI","Pavan V","8/25/2023 9:38 AM"
"C12045658","GHES: Verify GitHub related fields are not being displayed for admin when not logged in GitHub","Dinesh Babu","9/28/2022 7:50 AM","","Git Hub fields should not be present","","GitHub","Dinesh Babu","","Medium","STU-20","4.3","STU-20: [CI/CD] GitHub Enterprise Server","","","","","","","","","Master","S1"," In Progress","UI","Pavan V","8/25/2023 9:38 AM"
"C12045659","GHES: Verify GitHub status in Snap pack Panel","Dinesh Babu","9/28/2022 7:50 AM","","","","GitHub","Dinesh Babu","","Medium","STU-20","4.3","STU-20: [CI/CD] GitHub Enterprise Server","","Status should be unsupported","","","","","","","Master","S1"," In Progress","UI","Pavan V","8/25/2023 9:38 AM"
"C12045660","GHES: Verify presence of GitHub Authentication button","Dinesh Babu","9/28/2022 7:50 AM","","1. User profile pop up should be displayed
2. GitHub Authentication button should be present","","GitHub","Dinesh Babu","","Medium","STU-20","4.3","STU-20: [CI/CD] GitHub Enterprise Server","","1. Click on UserName link
2. Observe GitHub Authentication button in that userprofile pop up","","","","","","","Master","S1"," In Progress","UI","Pavan V","8/25/2023 9:38 AM"
"C12042865","Verify the error message """" Can not find git ref, the branch may be renamed, please checkout the correct branch"""" is getting displayed when user tries to do a commit to a branch after renaming it in the Github","Dinesh Babu","8/22/2022 8:21 PM","","1. """" Can not find git ref, the branch may be renamed, please checkout the correct branch""""  error message should be displayed","","GitHub","Dinesh Babu","User checked out a repository from Github","High","STU-324","4.30.1.0","STU-324 [GitHub] Refresh branch names on checkout in UI/Public API","","1. Navigate to GitHub by clicking the path above the project
2. Goto the branch the user checked out and rename it
3. Goto the project connected to the branch (old name)
4. Add a file to the project
5. Select the file and click on Commit to GitHub under Github icon","","","","","","","Master","S1"," Manual","UI","Anumeha Singh","11/16/2022 2:29 AM"
"C12042866","Verify the error message """" Can not find git ref, the branch may be renamed, please checkout the correct branch"""" is getting displayed when user tries to do GitHub Pull to a branch after renaming it in the GitHub","Dinesh Babu","8/22/2022 8:21 PM","","1. """" Can not find git ref, the branch may be renamed, please checkout the correct branch""""  error message should be displayed","","GitHub","Dinesh Babu","User checked out a repository from Github","High","STU-324","4.30.1.0","STU-324 [GitHub] Refresh branch names on checkout in UI/Public API","","1. Navigate to GitHub by clicking the path above the project
2. Goto the branch the user checked out and rename it
3. Goto the project connected to the branch (old name)
4. Select the GitHub Pull under Github icon","","","","","","","Master","S1"," Manual","UI","Anumeha Singh","11/16/2022 2:29 AM"
"C12042867","Verify user is able to successfully checkout a branch that was renamed in GitHub","Dinesh Babu","8/22/2022 8:21 PM","","1. The updated branch name should be displayed","","GitHub","Dinesh Babu","","High","STU-324","4.30.1.0","STU-324 [GitHub] Refresh branch names on checkout in UI/Public API","","1. Navigate to GitHub by clicking the path above the project
2. Goto the branch the user checked out and rename it
3. Goto Managers tab and create a new project
4. Click on Checkout GitHub Repository
5. Select the repo from the Repositories dropdown
6. Click on the branch dropdown","","","","","","","Master","S1"," Manual","UI","Anumeha Singh","11/16/2022 2:29 AM"
"C12042868","Verify the error message """" Can not find git ref, the branch may be renamed, please checkout the correct branch"""" is getting displayed when user tries to do a commit to a branch after renaming it in the GHES","Dinesh Babu","8/22/2022 8:21 PM","","1. """" Can not find git ref, the branch may be renamed, please checkout the correct branch""""  error message should be displayed","","GitHub","Dinesh Babu","User checked out a repository from GHES","High","STU-324","4.30.1.0","STU-324 [GitHub] Refresh branch names on checkout in UI/Public API","","1. Navigate to GitHub by clicking the path above the project
2. Goto the branch the user checked out and rename it
3. Goto the project connected to the branch (old name)
4. Add a file to the project
5. Select the file and click on Commit to GitHub under Github icon","","","","","","","Master","S1"," Manual","UI","Anumeha Singh","11/16/2022 2:29 AM"
"C12042869","Verify the error message """" Can not find git ref, the branch may be renamed, please checkout the correct branch"""" is getting displayed when user tries to do a GitHub Pull to a branch after renaming it in the GHES","Dinesh Babu","8/22/2022 8:21 PM","","1. """" Can not find git ref, the branch may be renamed, please checkout the correct branch""""  error message should be displayed","","GitHub","Dinesh Babu","User checked out a repository from GHES","High","STU-324","4.30.1.0","STU-324 [GitHub] Refresh branch names on checkout in UI/Public API","","1. Navigate to GitHub by clicking the path above the project
2. Goto the branch the user checked out and rename it
3. Goto the project connected to the branch (old name)
4. Select the GitHub Pull under Github icon","","","","","","","Master","S1"," Manual","UI","Anumeha Singh","11/16/2022 2:29 AM"
"C12042870","Verify user is able to successfully checkout a branch that was renamed in GHES","Dinesh Babu","8/22/2022 8:21 PM","","1. The updated branch name should be displayed","","GitHub","Dinesh Babu","","High","STU-324","4.30.1.0","STU-324 [GitHub] Refresh branch names on checkout in UI/Public API","","1. Navigate to GitHub by clicking the path above the project
2. Goto the branch the user checked out and rename it
3. Goto Managers tab and create a new project
4. Click on Checkout GitHub Repository
5. Select the repo from the Repositories dropdown
6. Click on the branch dropdown","","","","","","","Master","S1"," Manual","UI","Anumeha Singh","11/16/2022 2:29 AM"
"C12045588","Verify that Github Add Tag option is listed in the project dropdown","Dinesh Babu","9/27/2022 3:05 PM","","1. GitHub Add Tag option should be listed","9s","GitHub","Pavan V","1. User connected to GitHub
2. User checked out a project","High","STU-762","4.30.2.0","STU-762: [CI/CD] create tags UI changes","","1. Navigate to Manager page
2. Click on the dropdown button from the project","","","","","","","Master","S1"," In Progress","UI","Dinesh Babu","11/1/2023 9:54 AM"
"C12045589","Verify that when user clicks Github Add Tag option from the project dropdown Github Add Tag pop up is getting displayed","Dinesh Babu","9/27/2022 3:05 PM","","1. GitHub Add Tag pop up window should be displayed
2. The fields Tag and Tag Message should be displayed and mandated
3. The text """"Enter tag..."""" and """"Enter tag message..."""" should be displayed in Tag and Tag Message fields
4. Cancel button should be displayed
5. Tag button should be displayed
6. Git Add Tag pop up should be closed

","22s","GitHub","Pavan V","1. User connected to GitHub
2. User checked out a project","High","STU-762","4.30.2.0","STU-762: [CI/CD] create tags UI changes","","1. Navigate to Manager page
2. Click on the dropdown button from the project
3. Click on the Git Add Tag
4. Verify the Fields present in Git Add Tag Popup
5. Click on the Cancel button","","","","","","","Master","S1"," In Progress","UI","Dinesh Babu","11/1/2023 9:54 AM"
"C12045592","Verify that when user enters Tag name and Tag Message the Tag button is enabled","Dinesh Babu","9/27/2022 3:05 PM","","1. Tag button should be enabled in blue","6s","GitHub","Pavan V","1. User connected to GitHub
2. User checked out a project","High","STU-762","4.30.2.0","STU-762: [CI/CD] create tags UI changes","","1. Navigate to Manager page
2. Click on the dropdown button from the project
3. Click on the Github Add Tag
4. Enter the Tag name
5. Enter the Tag Message","","","","","","","Master","S1"," In Progress","UI","Dinesh Babu","11/1/2023 9:54 AM"
"C12045593","Verify that the Tag button in the Github Add Tag pop up is not enabled until both Tag and Tag Message fields are updated","Dinesh Babu","9/27/2022 3:05 PM","","1. Tag button should not be enabled in blue","5s","GitHub","Pavan V","1. User connected to GitHub
2. User checked out a project","High","STU-762","4.30.2.0","STU-762: [CI/CD] create tags UI changes","","1. Navigate to Manager page
2. Click on the dropdown button from the project
3. Click on the Github Add Tag
4. Enter the Tag name","","","","","","","Master","S1"," In Progress","UI","Dinesh Babu","11/1/2023 9:54 AM"
